"HR","Name","Vmag","IRflag","RA1900","DE1900","RA","DE","GLON","GLAT","""B-V""","""U-B""","pmRA","pmDE","RadVel"
2739,"",6.03,"",7.16216666666667,-9.85611111111111,7.24116666666667,-9.68333333333333,224.73,0.35,-0.18,-0.97,-0.004,-0.011,33
2740,"",4.49,"",7.16180555555556,-45.4077777777778,7.20933333333333,-45.2405555555556,257.72,-16.02,0.32,-0.01,-0.132,0.103,-1
2741,"",6.6,"",7.16563888888889,-29.0880555555556,7.22975,-30.9161111111111,243.2,-9.28,-0.17,-0.76,-0.014,-0.002,28
2742,"",4.96,"I",7.16752777777778,82.6044444444444,7.51788888888889,82.4113888888889,131.42,28.18,1.66,1.8,-0.006,-0.042,14
2743,"",6.33,"",7.16780555555556,-29.8322222222222,7.23255555555556,-29.66,242.54,-8.92,-0.2,-0.83,-0.015,-0.006,24
2744,"24    Mon",6.41,"",7.17008333333333,0.0122222222222222,7.25536111111111,0.161388888888889,215.81,5.24,0.9,0.57,-0.02,-0.002,-10
2745,"27    CMa",4.66,"",7.16961111111111,-25.82,7.23755555555556,-25.6475,238.97,-7.07,-0.19,-0.71,-0.009,0.007,0
2746,"",4.89,"",7.1705,-44.9911111111111,7.22038888888889,-44.8169444444444,256.26,-15.3,-0.02,-0.07,-0.019,-0.099,4
2747,"",5.82,"I",7.17052777777778,8.15194444444444,7.26094444444444,7.97777777777778,208.53,8.99,1.6,1.71,0.029,0.007,-9
2748,"",5.1,"",7.17475,-43.5233333333333,7.22566666666667,-43.3602777777778,255.77,-15.04,1.56,NA,0.114,0.33,53
2749,"28Ome CMa",3.85,"",7.17922222222222,-25.4011111111111,7.24686111111111,-25.2272222222222,239.41,-7.15,-0.17,-0.73,-0.008,0.006,26
2750,"",5.58,"I",7.18016666666667,-25.1366666666667,7.24752777777778,-26.9619444444444,239.65,-7.26,1.22,1.29,-0.049,-0.03,15
2751,"",5.05,"",7.18225,49.6430555555556,7.30886111111111,49.465,168.11,24.51,0.08,0.09,-0.004,0.014,-12
2752,"",5.95,"",7.18311111111111,-9.59166666666667,7.26197222222222,-9.41611111111111,225.11,0.5,1.18,1.18,0.011,-0.007,-13
2753,"64    Aur",5.78,"",7.18472222222222,41.0611111111111,7.30061111111111,40.8833333333333,177.08,22.11,0.17,0.12,-0.015,0.013,-10
2754,"",6.02,"",7.18483333333333,-62.9811111111111,7.20055555555556,-62.81,274,-21.77,-0.02,NA,-0.003,0,0
2755,"",6.32,"",7.19322222222222,-22.4352777777778,7.26319444444444,-22.2594444444444,236.79,-5.58,NA,NA,0.017,0.007,34
2756,"",5.36,"",7.19133333333333,-29.4886111111111,7.25583333333333,-29.3136111111111,242.99,-8.8,-0.17,-0.65,-0.018,0.013,33
2757,"",6.24,"",7.19461111111111,31.1352777777778,7.30113888888889,30.9558333333333,187.09,18.85,-0.03,-0.1,-0.004,-0.028,27
2758,"",5.46,"",7.19519444444444,-14.5913888888889,7.27069444444444,-14.4141666666667,229.59,-1.71,0.08,0.06,-0.05,-0.015,10
2759,"",5.94,"",7.19480555555556,-40.7486111111111,7.24919444444444,-40.5741666666667,252.84,-13.49,-0.16,NA,0.009,0.022,21
2760,"",6.65,"",7.19872222222222,6.85916666666667,7.28827777777778,6.68055555555556,209.88,8.78,-0.11,-0.41,0.001,-0.015,9
2761,"",5.72,"",7.19822222222222,-45.3255555555556,7.24608333333333,-45.1502777777778,257.96,-15.71,-0.11,-0.46,-0.018,-0.008,40
2762,"",4.76,"",7.19794444444444,-47.9030555555556,7.24394444444444,-47.7283333333333,259.31,-16.29,-0.1,-0.29,0.004,0.004,39
2763,"54Lam Gem",3.58,"",7.20575,16.7208333333333,7.30155555555556,16.5402777777778,200.92,13.23,0.11,0.1,-0.048,-0.037,-9
2764,"",4.79,"I",7.20661111111111,-22.8622222222222,7.27688888888889,-22.6844444444444,236.5,-5.21,1.71,1.87,-0.01,0.002,28
2765,"",6.29,"I",7.21086111111111,-5.49888888888889,7.29213888888889,-5.32,221.86,2.72,1.62,1.96,-0.014,0.011,9
2766,"",4.64,"I",7.20955555555556,-26.2955555555556,7.27638888888889,-26.1188888888889,240.58,-7.3,1.6,1.88,-0.01,0.043,42
2767,"",5.97,"",7.21636111111111,-51.6744444444444,7.25583333333333,-51.5002777777778,263.45,-17.78,1.1,NA,-0.058,0.103,39
2768,"",6.32,"",7.21813888888889,-29.2827777777778,7.28255555555556,-29.1033333333333,243.34,-8.59,0.2,0.19,0.005,-0.021,-5
2769,"",5.8,"",7.21786111111111,-37.8594444444444,7.2755,-37.6811111111111,250.08,-11.91,-0.13,-0.59,-0.015,0.005,45
2770,"",5.03,"",7.22105555555556,-35.5863888888889,7.28041666666667,-35.4072222222222,248.52,-11.12,-0.17,-0.69,0.001,-0.002,9
2771,"",5.66,"",7.22286111111111,-45.4030555555556,7.27097222222222,-45.2255555555556,257.99,-15.45,1.44,1.67,0.009,0.035,20
2772,"47    Cam",6.35,"",7.22547222222222,60.0872222222222,7.37144444444444,59.9019444444444,156.84,27.03,NA,NA,0.003,0.014,7
2773,"Pi  Pup",2.7,"",7.22683333333333,-35.0822222222222,7.28572222222222,-36.9025,249.01,-11.28,1.62,1.24,-0.009,0.004,16
2774,"",6.46,"",7.22894444444444,-25.3833333333333,7.29663888888889,-25.2025,239.73,-6.57,-0.15,-0.61,-0.01,0.001,15
2775,"",6.35,"",7.23316666666667,42.8416666666667,7.35086111111111,42.6555555555556,175.42,23.16,1.46,1.58,-0.019,-0.046,46
2776,"",5.77,"",7.23419444444444,45.4130555555556,7.35486111111111,45.2280555555556,172.73,23.9,0.32,0,-0.048,0.004,25
2777,"55Del Gem",3.53,"I",7.23583333333333,22.1666666666667,7.33538888888889,21.9822222222222,195.98,15.89,0.34,0.04,-0.026,-0.012,4
2778,"",5.89,"",7.23577777777778,2.92416666666667,7.32288888888889,2.74055555555556,213.67,7.46,1.07,0.82,0,-0.013,24
2779,"",5.91,"",7.23997222222222,7.32833333333333,7.32988888888889,7.14277777777778,209.74,9.54,0.53,0.07,0.06,-0.063,22
